Constituency,Leading Party,Trailing Party,Margin
Achanta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26554
Addanki,Telugu Desam,Yuvajana Sramika Rythu Congress Party,24890
Adoni,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,18164
Allagadda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,12037
Alur,Yuvajana Sramika Rythu Congress Party,Telugu Desam,2831
Amadalavalasa,Telugu Desam,Yuvajana Sramika Rythu Congress Party,35032
Amalapuram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38628
Anakapalle,Janasena Party,Yuvajana Sramika Rythu Congress Party,65764
Anantapur Urban,Telugu Desam,Yuvajana Sramika Rythu Congress Party,23023
Anaparthy,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,20850
Araku Valley ,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,31877
Atmakur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,7576
Avanigadda,Janasena Party,Yuvajana Sramika Rythu Congress Party,46434
Badvel,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,18567
Banaganapalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25566
Bapatla,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27768
Bhimavaram,Janasena Party,Yuvajana Sramika Rythu Congress Party,66974
Bhimili,Telugu Desam,Yuvajana Sramika Rythu Congress Party,92401
Bobbili,Telugu Desam,Yuvajana Sramika Rythu Congress Party,44648
Chandragiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,43852
Uravakonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,21704
Vemuru (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,22021
Venkatagiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,16294
Vijayawada Central,Telugu Desam,Yuvajana Sramika Rythu Congress Party,68886
Vijayawada East,Telugu Desam,Yuvajana Sramika Rythu Congress Party,49640
Vijayawada West,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,47032
Vinukonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,30267
Visakhapatnam East,Telugu Desam,Yuvajana Sramika Rythu Congress Party,70877
Visakhapatnam North,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,47534
Visakhapatnam South,Janasena Party,Yuvajana Sramika Rythu Congress Party,64594
Visakhapatnam West,Telugu Desam,Yuvajana Sramika Rythu Congress Party,35184
Vizianagaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,60609
Yelamanchili,Janasena Party,Yuvajana Sramika Rythu Congress Party,48956
Yemmiganur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,15837
Yerragondapalem (SC),Yuvajana Sramika Rythu Congress Party,Telugu Desam,5200
Achanta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26554
Addanki,Telugu Desam,Yuvajana Sramika Rythu Congress Party,24890
Adoni,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,18164
Allagadda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,12037
Alur,Yuvajana Sramika Rythu Congress Party,Telugu Desam,2831
Amadalavalasa,Telugu Desam,Yuvajana Sramika Rythu Congress Party,35032
Amalapuram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38628
Anakapalle,Janasena Party,Yuvajana Sramika Rythu Congress Party,65764
Anantapur Urban,Telugu Desam,Yuvajana Sramika Rythu Congress Party,23023
Anaparthy,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,20850
Araku Valley ,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,31877
Atmakur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,7576
Avanigadda,Janasena Party,Yuvajana Sramika Rythu Congress Party,46434
Badvel,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,18567
Banaganapalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25566
Bapatla,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27768
Bhimavaram,Janasena Party,Yuvajana Sramika Rythu Congress Party,66974
Bhimili,Telugu Desam,Yuvajana Sramika Rythu Congress Party,92401
Bobbili,Telugu Desam,Yuvajana Sramika Rythu Congress Party,44648
Chandragiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,43852
Pulivendla,Yuvajana Sramika Rythu Congress Party,Telugu Desam,61687
Punganur,Yuvajana Sramika Rythu Congress Party,Telugu Desam,6095
Puthalapattu (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,15634
Puttaparthi,Telugu Desam,Yuvajana Sramika Rythu Congress Party,8760
Rajahmundry City,Telugu Desam,Yuvajana Sramika Rythu Congress Party,71404
Mylavaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,42829
Nagari,Telugu Desam,Yuvajana Sramika Rythu Congress Party,45004
Nandigama (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,27395
Nandikotkur (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,9792
Nandyal,Telugu Desam,Yuvajana Sramika Rythu Congress Party,12333
Rajahmundry Rural,Telugu Desam,Yuvajana Sramika Rythu Congress Party,64090
Rajam ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,20722
Rajampet,Yuvajana Sramika Rythu Congress Party,Telugu Desam,7016
Rajanagaram,Janasena Party,Yuvajana Sramika Rythu Congress Party,34049
Ramachandrapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26291
Rampachodavaram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,9139
Raptadu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,23329
Rayachoti,Telugu Desam,Yuvajana Sramika Rythu Congress Party,2495
Narasannapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,29371
Narasapuram,Janasena Party,Yuvajana Sramika Rythu Congress Party,49738
Narasaraopet,Telugu Desam,Yuvajana Sramika Rythu Congress Party,19705
Narsipatnam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,24676
Nellimarla,Janasena Party,Yuvajana Sramika Rythu Congress Party,39829
Nellore City,Telugu Desam,Yuvajana Sramika Rythu Congress Party,72489
Nellore Rural,Telugu Desam,Yuvajana Sramika Rythu Congress Party,34480
Nidadavole,Janasena Party,Yuvajana Sramika Rythu Congress Party,33304
Cheepurupalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,11971
Chilakaluripet,Telugu Desam,Yuvajana Sramika Rythu Congress Party,33262
Chintalapudi ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27766
Rayadurg,Telugu Desam,Yuvajana Sramika Rythu Congress Party,41659
Razole ,Janasena Party,Yuvajana Sramika Rythu Congress Party,39011
Repalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,39947
Salur ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,13733
Santhanuthalapadu (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,30385
Sarvepalli,Telugu Desam,Yuvajana Sramika Rythu Congress Party,16288
Sattenapalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27836
Nuzvid,Telugu Desam,Yuvajana Sramika Rythu Congress Party,12378
Ongole,Telugu Desam,Yuvajana Sramika Rythu Congress Party,34026
Paderu ,Yuvajana Sramika Rythu Congress Party,Telugu Desam,19338
Palacole,Telugu Desam,Yuvajana Sramika Rythu Congress Party,67945
Palakonda ,Janasena Party,Yuvajana Sramika Rythu Congress Party,13291
Palamaner,Telugu Desam,Yuvajana Sramika Rythu Congress Party,20122
Palasa,Telugu Desam,Yuvajana Sramika Rythu Congress Party,40350
Chirala,Telugu Desam,Yuvajana Sramika Rythu Congress Party,20984
Chittoor,Telugu Desam,Yuvajana Sramika Rythu Congress Party,14604
Chodavaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,42189
Darsi,Yuvajana Sramika Rythu Congress Party,Telugu Desam,2456
Denduluru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26266
Dharmavaram,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,3734
Dhone,Telugu Desam,Yuvajana Sramika Rythu Congress Party,6049
Eluru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,62388
Kodumur (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,21583
Kodur (SC),Janasena Party,Yuvajana Sramika Rythu Congress Party,11101
Kondapi (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,24756
Kothapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,56479
Kovur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,54583
Kovvur ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,33946
Gudur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,21192
Guntakal,Telugu Desam,Yuvajana Sramika Rythu Congress Party,6826
Satyavedu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,3739
Singanamala (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,8788
Pamarru (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,29690
Panyam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,40591
Parchur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,24013
Parvathipuram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,24414
Etcherla,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,29089
Gajapathinagaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25301
Gajuwaka,Telugu Desam,Yuvajana Sramika Rythu Congress Party,95235
Gangadhara Nellore (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,26011
Kuppam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,48006
Kurnool,Telugu Desam,Yuvajana Sramika Rythu Congress Party,18876
Kurupam ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,23500
Macherla,Telugu Desam,Yuvajana Sramika Rythu Congress Party,33318
Machilipatnam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,50242
Guntur East,Telugu Desam,Yuvajana Sramika Rythu Congress Party,31962
Guntur West,Telugu Desam,Yuvajana Sramika Rythu Congress Party,51150
Gurajala,Telugu Desam,Yuvajana Sramika Rythu Congress Party,29486
Hindupur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,32597
Ichchapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,39783
Srikakulam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,52521
Srikalahasti,Telugu Desam,Yuvajana Sramika Rythu Congress Party,43304
Srisailam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,6385
Srungavarapukota,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38790
Sullurpeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,29115
Tadepalligudem,Janasena Party,Yuvajana Sramika Rythu Congress Party,62492
Pathapatnam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26527
Pattikonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,14211
Payakaraopet ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,43727
Pedakurapadu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,21089
Gannavaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,37628
Gannavaram(SC),Janasena Party,Yuvajana Sramika Rythu Congress Party,33367
Giddalur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,973
Gopalapuram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26784
Madakasira (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,351
Madanapalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,5509
Madugula,Telugu Desam,Yuvajana Sramika Rythu Congress Party,28026
Mandapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,44435
Mangalagiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,91413
Mantralayam,Yuvajana Sramika Rythu Congress Party,Telugu Desam,12805
Jaggampeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,52676
Jaggayyapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,15977
Jammalamadugu,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,17191
Kadapa,Telugu Desam,Yuvajana Sramika Rythu Congress Party,18860
Kadiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,6265
Kaikalur,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,45273
Tadikonda (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,39606
Tadpatri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27731
Tanuku,Telugu Desam,Yuvajana Sramika Rythu Congress Party,72121
Tekkali,Telugu Desam,Yuvajana Sramika Rythu Congress Party,34435
Tenali,Janasena Party,Yuvajana Sramika Rythu Congress Party,48112
Thamballapalle,Yuvajana Sramika Rythu Congress Party,Telugu Desam,10103
Tirupati,Janasena Party,Yuvajana Sramika Rythu Congress Party,61956
Tiruvuru (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,21874
Pedana,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38123
Peddapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,40451
Penamaluru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,59915
Pendurthi,Janasena Party,Yuvajana Sramika Rythu Congress Party,81870
Penukonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,33388
Pileru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25081
Pithapuram,Janasena Party,Yuvajana Sramika Rythu Congress Party,70279
Polavaram ,Janasena Party,Yuvajana Sramika Rythu Congress Party,7935
Ponnur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,32915
Prathipadu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38768
Prathipadu (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,42015
Gudivada,Telugu Desam,Yuvajana Sramika Rythu Congress Party,53040
Markapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,13979
Mummidivaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38736
Mydukur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,20950
Kakinada City,Telugu Desam,Yuvajana Sramika Rythu Congress Party,56572
Kakinada Rural,Janasena Party,Yuvajana Sramika Rythu Congress Party,72040
Kalyandurg,Telugu Desam,Yuvajana Sramika Rythu Congress Party,37734
Kamalapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25357
Kandukur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,18558
Kanigiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,14604
Kavali,Telugu Desam,Yuvajana Sramika Rythu Congress Party,30948
Tuni,Telugu Desam,Yuvajana Sramika Rythu Congress Party,15177
Udayagiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,9621
Undi,Telugu Desam,Yuvajana Sramika Rythu Congress Party,56777
Ungutur,Janasena Party,Yuvajana Sramika Rythu Congress Party,44945
Proddatur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,22744
